from to distance betweenness
2423 2428 259.27 1161.53300749
2407 2423 298.18 982.260213404
2428 2435 289.08 387.0
2438 2441 311.07 336.0
2428 2437 316.72 327.0
2428 2431 262.9 306.0
2384 2391 333.05 280.25562805
2391 2407 295.35 276.049384404
2411 2415 297.91 250.857929286
2424 2428 209.68 246.466992513
2428 2433 267.76 240.0
2441 2448 284.53 232.0
2385 2386 308.05 230.602600935
2417 2424 266.25 217.207724362
2435 2438 308.43 198.333333333
2416 2426 313.15 191.227352429
2405 2417 284.98 185.969513926
2417 2423 257.62 182.987950739
2431 2438 283.03 181.666666667
2407 2419 284.15 173.850462943
2407 2421 266.36 173.850462943
2394 2416 314.49 172.527336043
2433 2438 287.86 170.0
2405 2420 243.83 137.85029046
2414 2417 306.36 136.701302919
2415 2422 232.79 134.805637445
2384 2389 302.86 133.181427775
2394 2407 288.56 130.106444895
2415 2417 195.66 125.077198582
2426 2427 194.68 118.0
2437 2456 310.6 118.0
2448 2455 289.86 118.0
2398 2410 315.85 116.730634081
2438 2442 272.12 112.0
2390 2407 304.35 111.525183865
2393 2407 302.74 111.525183865
2401 2419 271.13 109.870044331
2401 2421 287.34 109.870044331
2392 2411 305.2 106.514059825
2402 2411 290.64 106.514059825
2435 2444 311.64 105.933333333
2385 2394 242.96 104.32010494
2401 2413 261.59 101.556857144
2395 2407 291.77 97.9892327949
2384 2388 284.42 93.9720222396
2437 2444 274.27 93.2666666667
2428 2430 256.67 90.0
2396 2412 260.07 88.1644341438
2386 2399 284.0 87.3338469933
2431 2440 327.42 87.2666666667
2384 2387 278.13 84.7730880231
2435 2440 295.93 84.6
2386 2397 220.47 77.1665120364
