from to distance betweenness top10
1601 2444 1012.1 17802.3242842 True
1266 1575 816.32 12418.0250992 True
2432 2443 767.63 9240.0 True
1570 1601 492.24 9142.30882635 True
2431 2444 361.45 9057.95096303 True
2436 2443 201.13 8652.0 True
1569 1578 814.52 8578.67244324 True
2393 2435 826.61 8340.53868296 True
2436 2447 370.63 8060.0 True
1574 1575 388.29 7657.19594053 True
1737 1745 288.37 7652.11616892 True
1197 1211 486.61 7464.0 True
1570 1572 449.17 7196.97148981 True
1211 1288 726.63 6893.18039549 True
1745 1760 524.5 6870.82235039 True
1197 1199 174.45 6864.0 True
1578 1579 464.35 6637.79444038 True
1637 1737 766.37 6557.14954729 True
1570 1602 687.2 6102.11136235 True
1642 2497 680.02 6090.95650001 True
2423 2431 443.87 6018.28241101 False
1751 2430 809.31 5942.95977083 False
1602 1617 819.25 5641.24469569 False
1640 4960 566.93 5622.00606257 False
1226 1569 814.27 5571.17373227 False
1760 2435 620.69 5394.97136833 False
2441 2444 524.72 5350.81213642 False
1636 1640 576.07 5231.88841569 False
1565 1572 455.09 5106.7049412 False
2414 2435 721.08 4981.29834391 False
1608 1642 610.8 4844.72953159 False
2435 2451 374.61 4698.99244155 False
1565 1568 319.57 4600.69411549 False
2490 2497 384.91 4577.44489733 False
2451 2490 867.14 4518.42889894 False
2427 2432 457.96 4374.11027469 False
1588 1640 809.49 4288.51203032 False
1581 1646 571.78 4254.81990781 False
1646 1751 485.22 4253.60883488 False
2490 2494 202.98 4148.15906244 False
1276 1288 326.89 4074.57949227 False
2427 2435 426.69 4061.40905993 False
1666 4865 1032.0 3874.32608227 False
1637 1707 477.21 3856.84413153 False
1199 1202 444.72 3804.0 False
1646 1776 670.61 3772.10245938 False
1280 1565 592.14 3700.08531138 False
2430 2434 621.09 3698.42363822 False
2430 2435 157.6 3677.78101386 False
1259 1267 618.21 3588.74871219 False
1568 1590 727.32 3544.53401743 False
1266 1276 571.0 3540.86511095 False
1566 1608 607.09 3537.92679262 False
4538 4546 758.23 3536.0 False
1577 1588 537.45 3473.62336208 False
1590 1601 330.48 3461.51242675 False
2429 2441 572.14 3381.267587 False
1666 2431 695.79 3290.8968927 False
1579 1581 132.72 3238.11423761 False
1202 1239 589.2 3180.0 False
2429 2432 282.33 3167.8293814 False
1566 1575 194.24 3115.4655182 False
1259 1266 486.28 3095.68929356 False
1611 1662 844.43 2990.51646418 False
1637 4960 476.04 2882.20682899 False
1571 1577 173.22 2808.52206338 False
1572 1578 192.5 2806.00925575 False
1617 1649 541.88 2761.19232473 False
1646 4943 625.08 2732.02581871 False
1574 1625 617.12 2657.32103497 False
1598 1622 481.92 2652.66292614 False
1595 1611 532.5 2638.31949448 False
1215 1226 407.97 2565.62968854 False
2447 2457 165.48 2525.33333333 False
1622 1652 486.98 2499.67432899 False
4546 4573 1116.2 2496.0 False
1574 1608 495.76 2482.34919496 False
1285 1565 585.62 2446.47133469 False
1288 1559 425.9 2430.934999 False
2017 4542 644.74 2392.49002576 False
2432 2434 149.8 2382.07302338 False
4542 4546 446.96 2338.68809524 False
2431 2435 120.54 2310.96822567 False
2444 2449 183.67 2300.20285919 False
1561 1565 394.44 2285.15178384 False
1224 1280 818.43 2251.64859555 False
1559 1583 666.41 2219.43118129 False
2494 4894 624.52 2183.9047619 False
1574 1581 306.51 2180.92669038 False
1601 1608 261.43 2162.94459296 False
1621 1627 389.2 2143.73561072 False
2419 2423 484.46 2140.16130235 False
1621 1641 691.22 2129.67045462 False
2393 2401 433.67 2039.28129674 False
1625 1646 461.4 2036.25147533 False
1579 1596 447.6 1972.81716903 False
1581 1627 539.37 1942.81932144 False
2393 2397 650.19 1940.63281691 False
1596 1601 249.44 1923.60689304 False
1229 1282 730.13 1920.0 False
