from to distance betweenness top10
5807 8362 1155.8 2399496.03944 True
815 10975 873.56 1568054.6527 True
1740 7630 857.2 1394073.43741 True
11203 18215 1349.2 1346130.63366 True
7630 7798 532.87 1246552.15607 True
13252 17900 1376.3 1087985.34009 True
8362 13568 718.91 1087357.99046 True
1391 13085 1069.9 1071623.69551 True
11854 17900 646.75 983272.759152 True
5807 10819 243.76 957798.053046 True
14958 17969 1037.8 928698.84317 True
5807 11420 502.8 927217.846734 True
1827 12472 845.07 908504.0 True
5675 7287 1068.4 899296.847847 True
1827 1917 20.156 884892.0 True
12007 12740 1048.9 876105.076556 True
1828 1917 214.74 873080.0 True
2137 9616 950.26 832618.672976 True
15797 16912 1049.9 827436.941407 True
9616 14064 794.58 824199.832209 True
11964 14049 1242.7 812702.590589 False
1391 13737 741.64 785895.032554 False
13783 16912 900.89 776684.487343 False
5706 13568 774.3 771631.612829 False
4041 14775 1121.2 746681.292775 False
7221 7287 48.417 738852.675804 False
7018 7798 186.58 736467.239078 False
8362 11197 193.22 727559.875485 False
815 12270 991.02 704954.122503 False
2089 2404 909.82 696163.053304 False
7018 8390 688.74 689794.972411 False
12270 15266 122.56 684448.617116 False
10975 12388 573.54 673960.323034 False
11503 12390 1068.3 669732.373233 False
2182 17969 804.21 660921.826361 False
219 12255 581.21 654626.992174 False
2231 4200 832.97 645248.521639 False
10017 11527 994.85 630082.640654 False
375 5075 794.32 628122.776772 False
4325 18113 1047.5 600300.0 False
11188 12939 328.82 592692.335084 False
11188 18215 467.87 590052.371001 False
8390 9608 195.15 584453.37339 False
15266 17214 543.4 583839.261841 False
2182 4041 403.89 579173.622397 False
815 6947 231.75 578891.851945 False
2067 12472 410.76 560180.090759 False
1394 10596 1239.3 559675.686058 False
10701 11203 368.07 557177.256098 False
10274 17427 961.12 541552.65492 False
15035 15797 232.39 541080.299649 False
106 4962 706.66 538553.141073 False
834 18215 545.59 537364.369765 False
12526 13737 343.98 528755.326087 False
12388 16796 463.51 526425.684914 False
1309 1740 441.99 524184.139411 False
5807 13750 493.26 519479.376211 False
9497 11964 442.42 518414.363525 False
7221 15899 781.71 515081.653487 False
1558 1828 245.75 514390.666667 False
557 7628 801.68 513842.233396 False
14958 15439 110.57 513679.073815 False
10272 12740 600.94 512183.760237 False
4492 13783 589.76 509006.363345 False
10819 12255 418.47 508654.638914 False
10017 10272 102.46 503454.995617 False
1309 15439 357.13 501216.485793 False
11197 16066 961.64 496259.69615 False
22 4962 955.47 494876.076272 False
2089 12390 357.92 490417.070544 False
12255 13750 308.11 488045.390913 False
2137 11845 405.3 473356.465842 False
9743 17969 50.775 472231.096571 False
9408 11854 76.72 472163.903724 False
15899 16693 350.22 459015.269224 False
5086 8397 923.88 456690.598988 False
1558 3665 392.45 448955.0 False
2344 10260 940.21 434310.126896 False
7798 12765 251.19 431074.935859 False
2806 6947 523.86 421852.993218 False
10448 13249 760.35 419514.37344 False
12214 15757 669.17 418468.792136 False
1284 17029 957.59 413383.688933 False
2231 9163 723.9 405664.693849 False
10819 14372 492.64 405218.998137 False
13355 16582 1078.1 404888.927583 False
11420 12094 682.72 404498.058369 False
7013 13800 1278.2 402605.034692 False
13800 18232 285.39 402541.434692 False
11854 13249 736.83 399101.824279 False
8397 12479 483.31 398399.19617 False
10449 12526 758.86 396924.951488 False
10511 12479 802.34 395948.674435 False
1308 1740 150.81 390917.921608 False
13765 18232 318.45 390403.759778 False
11972 17127 608.07 389741.210066 False
7628 14768 1072.5 389386.67308 False
5706 7676 510.87 384490.187323 False
10792 11420 432.15 382864.304129 False
8579 14064 560.69 381869.960168 False
