from to distance betweenness top10
710 711 205.051132 12004109.3069 True
631 710 372.671448 12001741.2403 True
593 631 446.01181 11999831.5736 True
712 714 325.999878 11573347.4888 True
711 712 418.507599 11571120.2888 True
714 731 308.564819 11310779.4776 True
731 803 279.804779 11309377.2871 True
803 831 345.615234 11308267.9204 True
833 947 522.182739 11229108.979 True
947 948 245.855301 11224072.979 True
948 949 153.156235 11219678.5124 True
829 831 375.000092 10576004.8621 True
829 830 262.954437 10573191.066 True
830 833 178.176117 10570675.1387 True
592 593 374.50235 7975496.63515 True
309 592 277.716217 7970102.28276 True
270 309 128.987625 7965132.2161 True
949 951 123.857803 7043651.68683 True
951 977 247.378403 6897355.59159 True
239 270 349.654602 5669722.66253 True
238 239 64.192543 5665386.66369 False
949 953 166.159485 5430325.27806 False
953 1065 568.55603 4773462.9309 False
1065 1066 411.823364 4765944.23567 False
393 1066 497.35321 4758747.01662 False
366 393 387.196228 4753596.00709 False
358 366 419.818176 4750624.09281 False
977 982 23.022329 4554301.23274 False
831 837 107.283577 4549523.51029 False
982 1044 238.998444 4544532.43274 False
1044 1876 168.899323 4535215.76608 False
837 845 84.250198 4294193.71532 False
238 242 215.097275 4236922.79204 False
845 866 98.122345 3836504.17565 False
593 595 133.227814 3661647.89705 False
595 597 31.286966 3651700.56372 False
355 358 1005.401062 3563391.90713 False
355 356 495.473114 3548862.79284 False
356 357 436.354279 3544391.8045 False
357 379 714.758667 3541139.73197 False
379 448 518.661987 3538720.44992 False
358 362 251.391022 3497507.01688 False
270 591 588.669617 3496424.10115 False
535 591 499.357788 3486540.76782 False
491 535 431.2435 3478002.36306 False
479 491 214.543396 3471845.07417 False
866 880 51.209641 3450030.63683 False
1876 1886 94.551201 3443448.2274 False
880 897 51.069553 3440198.3035 False
597 621 216.168488 3322576.7375 False
448 469 95.11084 3292536.03116 False
469 590 515.778748 3290163.41578 False
138 590 501.586426 3288412.38135 False
119 120 107.460258 3288063.74786 False
120 124 532.781677 3287787.30656 False
124 138 544.010193 3287699.73977 False
1836 1886 231.526627 3252098.01877 False
621 627 40.531635 3131703.02215 False
242 253 108.255424 2991190.5175 False
253 292 177.125549 2981524.18416 False
292 306 35.265339 2972638.5175 False
479 481 59.007938 2918029.28402 False
481 488 122.422203 2908002.77926 False
237 238 358.990173 2901184.17239 False
236 237 208.662888 2893565.70572 False
184 236 332.353607 2886246.43906 False
129 184 369.537933 2879448.88668 False
126 129 102.685822 2874844.28668 False
593 594 83.152161 2869274.46296 False
306 328 66.831902 2726959.47804 False
714 720 204.981308 2696202.84527 False
711 713 603.454712 2676931.6069 False
82 713 499.889496 2666473.34024 False
488 497 122.176086 2658234.39322 False
66 82 303.438507 2656265.83547 False
497 512 172.778671 2595181.39005 False
125 126 259.437286 2551893.03774 False
123 125 228.396591 2546824.77108 False
121 123 352.85083 2542131.11076 False
118 121 364.763855 2538840.65361 False
118 119 247.535339 2536925.62028 False
714 715 92.874336 2531004.78587 False
627 667 207.161667 2475465.69998 False
667 701 114.293434 2465816.69998 False
362 370 262.253723 2401487.23148 False
835 869 199.868561 2400891.28761 False
370 386 181.08287 2390742.6029 False
328 3879 117.11277 2386503.0227 False
386 390 74.581482 2369488.73624 False
831 832 43.504452 2339404.03761 False
832 834 26.518629 2328374.03761 False
834 835 29.888565 2318258.90428 False
977 1003 96.764336 2269674.24134 False
1003 1009 26.170309 2247813.07308 False
1009 1020 51.941891 2247718.98993 False
3879 3891 125.933708 2237225.72175 False
3891 3903 177.424805 2228854.47413 False
833 841 92.142578 2215222.68877 False
949 950 78.32399 2208216.17672 False
950 952 64.21859 2197714.75854 False
