from to distance betweenness top10
9209 15111 68.750877 97397487.4092 True
8166 10811 76.765526 97397095.5702 True
9209 10811 68.0242 97396835.1929 True
10114 15111 181.360794 97364049.2281 True
12618 17658 157.688293 96494656.5051 True
4407 17658 153.505508 96491252.8466 True
4407 8166 112.995621 96491202.0749 True
958 17346 55.86459 88687029.4673 True
958 12618 133.987396 88575752.2657 True
10907 13969 100.443192 88359242.7634 True
13969 17346 103.232674 88357788.9114 True
4091 15596 207.963455 82610576.7853 True
12188 15596 108.811684 82521874.6164 True
8286 12188 115.81546 82514018.2936 True
5526 8286 83.693054 82507217.9743 True
4091 10907 200.915497 82082703.0148 True
1248 8701 226.003723 81760900.6662 True
1248 10114 290.151733 81735597.9023 True
5441 5721 322.915558 79039512.3144 True
5526 5721 198.081528 79038883.4701 True
5493 5585 202.586594 78330969.3457 False
5441 5493 242.171494 78330656.3512 False
2715 16687 132.828903 72715301.3468 False
2715 17222 223.369263 72707710.2174 False
17222 17910 20.978727 72702570.5405 False
3842 17910 128.554855 72695267.9073 False
12414 16687 89.317177 69998108.7971 False
7699 12414 73.906616 69969673.4579 False
7699 8858 79.859291 69923591.7814 False
7209 8858 47.425781 69903376.9088 False
4695 7209 76.77919 69863912.6911 False
3910 4695 22.370293 69845059.8347 False
3910 8701 196.732117 69829868.6284 False
5585 16676 222.387192 61537677.7374 False
16676 16718 205.6185 56652474.3798 False
16675 18248 3.29647 56033847.892 False
16718 16719 4.569336 56000487.142 False
4356 16719 103.204895 55991290.9669 False
4356 16674 106.982346 55975305.9598 False
16674 16675 45.691895 55968685.3255 False
13727 18248 94.14006 54537406.324 False
3842 3930 3.178631 52859288.6316 False
3930 10770 202.401611 52838318.971 False
6240 6287 85.30291 51225562.4728 False
6287 6288 4.569336 51213646.4716 False
5999 6240 115.96286 50432782.3328 False
9690 14511 153.444565 48121485.3031 False
5862 13727 21.146067 47898530.4669 False
9489 10770 126.070534 47143549.2956 False
6219 9489 77.774239 47122109.7097 False
5862 5999 23.226259 47079337.8144 False
6219 9690 101.929131 46954496.1369 False
1235 1294 137.082779 41778817.8279 False
7351 9020 47.42627 38730847.7004 False
7392 14511 482.828674 38339323.8192 False
7351 7392 73.120239 38296059.6189 False
1293 1294 217.79834 37673468.6302 False
6288 9913 107.67588 36708498.2764 False
9913 14037 131.684067 36696783.0667 False
14037 14129 30.588425 36641916.6228 False
14129 14130 59.399902 36632500.7651 False
15617 17268 281.961487 36309237.9858 False
2555 12301 104.935616 35647173.8965 False
2555 16853 39.239361 35631016.7301 False
10150 10309 4.453548 34971602.3485 False
10309 14104 69.812096 34958975.4883 False
14104 16437 52.983135 34947269.8551 False
15617 16437 44.639198 34925556.4354 False
9020 9704 19.587616 34685812.1017 False
9704 10150 13.94873 34646870.098 False
1539 1773 18.765406 34118976.8894 False
1309 1539 11.49572 34115260.2482 False
1098 1309 10.707341 34112480.2369 False
749 1098 24.844818 34112126.3649 False
2465 9687 5.913282 33950947.4836 False
6908 7866 30.266172 33945015.7719 False
2465 15427 143.850449 33936659.0512 False
6908 11483 12.423086 33590237.7269 False
5962 11483 17.496229 33586650.263 False
14029 15427 59.545422 32565917.2542 False
12694 14029 4.642479 32552877.2708 False
9687 16853 270.718781 31864689.6524 False
674 12694 52.213398 31513078.119 False
674 6653 85.555878 31502511.9656 False
12344 15326 99.154587 31413280.4582 False
294 542 6.974609 31393587.4826 False
542 921 14.423528 31387902.8328 False
3067 4546 47.559193 31234106.748 False
3067 8151 66.134384 31118395.7554 False
921 8151 8.088411 31003776.0833 False
8814 9094 10.351737 30817073.1711 False
7947 8814 28.18331 30815479.9935 False
704 11366 9.602984 30607689.3971 False
2076 11366 36.641956 30605226.2595 False
12301 12425 278.752136 30349277.7213 False
2076 4976 11.693352 30311733.4749 False
8702 13071 141.251831 30310840.9658 False
2585 4976 7.832156 30309890.7032 False
2585 13071 56.698673 30309802.1274 False
