from to distance betweenness top10
9209 15111 68.750877 97397487.4092 10000
8166 10811 76.765526 97397095.5702 10000
9209 10811 68.0242 97396835.1929 10000
10114 15111 181.360794 97364049.2281 10000
12618 17658 157.688293 96494656.5051 10000
4407 17658 153.505508 96491252.8466 10000
4407 8166 112.995621 96491202.0749 10000
958 17346 55.86459 88687029.4673 10000
958 12618 133.987396 88575752.2657 10000
10907 13969 100.443192 88359242.7634 10000
13969 17346 103.232674 88357788.9114 10000
4091 15596 207.963455 82610576.7853 10000
12188 15596 108.811684 82521874.6164 10000
8286 12188 115.81546 82514018.2936 10000
5526 8286 83.693054 82507217.9743 10000
4091 10907 200.915497 82082703.0148 10000
1248 8701 226.003723 81760900.6662 10000
1248 10114 290.151733 81735597.9023 10000
5441 5721 322.915558 79039512.3144 10000
5526 5721 198.081528 79038883.4701 10000
5493 5585 202.586594 78330969.3457 10000
5441 5493 242.171494 78330656.3512 10000
2715 16687 132.828903 72715301.3468 10000
2715 17222 223.369263 72707710.2174 10000
17222 17910 20.978727 72702570.5405 10000
3842 17910 128.554855 72695267.9073 10000
12414 16687 89.317177 69998108.7971 10000
7699 12414 73.906616 69969673.4579 10000
7699 8858 79.859291 69923591.7814 10000
7209 8858 47.425781 69903376.9088 10000
4695 7209 76.77919 69863912.6911 10000
3910 4695 22.370293 69845059.8347 10000
3910 8701 196.732117 69829868.6284 10000
5585 16676 222.387192 61537677.7374 10000
16676 16718 205.6185 56652474.3798 10000
16675 18248 3.29647 56033847.892 10000
16718 16719 4.569336 56000487.142 10000
4356 16719 103.204895 55991290.9669 10000
4356 16674 106.982346 55975305.9598 10000
16674 16675 45.691895 55968685.3255 10000
13727 18248 94.14006 54537406.324 10000
3842 3930 3.178631 52859288.6316 10000
3930 10770 202.401611 52838318.971 10000
6240 6287 85.30291 51225562.4728 10000
6287 6288 4.569336 51213646.4716 10000
5999 6240 115.96286 50432782.3328 10000
9690 14511 153.444565 48121485.3031 10000
5862 13727 21.146067 47898530.4669 10000
9489 10770 126.070534 47143549.2956 10000
6219 9489 77.774239 47122109.7097 10000
5862 5999 23.226259 47079337.8144 10000
6219 9690 101.929131 46954496.1369 10000
1235 1294 137.082779 41778817.8279 10000
7351 9020 47.42627 38730847.7004 10000
7392 14511 482.828674 38339323.8192 10000
7351 7392 73.120239 38296059.6189 10000
1293 1294 217.79834 37673468.6302 10000
6288 9913 107.67588 36708498.2764 10000
9913 14037 131.684067 36696783.0667 10000
14037 14129 30.588425 36641916.6228 10000
14129 14130 59.399902 36632500.7651 10000
15617 17268 281.961487 36309237.9858 10000
2555 12301 104.935616 35647173.8965 10000
2555 16853 39.239361 35631016.7301 10000
10150 10309 4.453548 34971602.3485 10000
10309 14104 69.812096 34958975.4883 10000
14104 16437 52.983135 34947269.8551 10000
15617 16437 44.639198 34925556.4354 10000
9020 9704 19.587616 34685812.1017 10000
9704 10150 13.94873 34646870.098 10000
1539 1773 18.765406 34118976.8894 10000
1309 1539 11.49572 34115260.2482 10000
1098 1309 10.707341 34112480.2369 10000
749 1098 24.844818 34112126.3649 10000
2465 9687 5.913282 33950947.4836 10000
6908 7866 30.266172 33945015.7719 10000
2465 15427 143.850449 33936659.0512 10000
6908 11483 12.423086 33590237.7269 10000
5962 11483 17.496229 33586650.263 10000
14029 15427 59.545422 32565917.2542 10000
12694 14029 4.642479 32552877.2708 10000
9687 16853 270.718781 31864689.6524 10000
674 12694 52.213398 31513078.119 10000
674 6653 85.555878 31502511.9656 10000
12344 15326 99.154587 31413280.4582 10000
294 542 6.974609 31393587.4826 10000
542 921 14.423528 31387902.8328 10000
3067 4546 47.559193 31234106.748 10000
3067 8151 66.134384 31118395.7554 10000
921 8151 8.088411 31003776.0833 10000
8814 9094 10.351737 30817073.1711 10000
7947 8814 28.18331 30815479.9935 10000
704 11366 9.602984 30607689.3971 10000
2076 11366 36.641956 30605226.2595 10000
12301 12425 278.752136 30349277.7213 10000
2076 4976 11.693352 30311733.4749 10000
8702 13071 141.251831 30310840.9658 10000
2585 4976 7.832156 30309890.7032 10000
2585 13071 56.698673 30309802.1274 9801
11768 14060 84.338036 29988033.7626 9801
8270 14060 76.302048 29980044.7984 9801
8270 15168 10.80689 29973474.3042 9801
15168 17389 25.780674 29969220.916 9801
512 513 7.615234 29613614.8961 9801
647 749 36.659996 29600205.2756 9801
325 513 36.976852 29599066.4604 9801
512 647 33.76791 29583562.5403 9801
294 17259 42.49831 29480948.3712 9801
17070 17259 5.78353 29479328.1498 9801
1293 12354 65.56646 29359711.3876 9801
12354 14359 157.286865 29342787.2184 9801
12353 14359 1.111816 29327165.8272 9801
12353 12394 89.871666 29313412.3235 9801
12394 12425 33.536343 29301190.9988 9801
3842 15160 187.161606 28143817.7718 9801
11389 15160 163.185013 28130206.5913 9801
9400 11389 36.832592 28046375.2788 9801
5422 9400 316.443024 28013173.1101 9801
11224 11273 19.848854 28010356.4623 9801
