#
# San Joaquin - in-degree Distribution. G(4975, 23854). 1252 (0.2517) nodes with in-deg > avg deg (9.6), 564 (0.1134) with >2*avg.deg (Tue Dec  8 13:53:42 2015)
#
# In-degree	Count
1	896
2	712
3	519
4	395
5	334
6	276
7	238
8	180
9	173
10	145
11	112
12	85
13	83
14	62
15	58
16	48
17	33
18	40
19	22
20	20
21	20
22	20
23	14
24	15
25	14
26	12
27	12
28	22
29	18
30	13
31	16
32	16
33	19
34	14
35	10
36	11
37	13
38	10
39	11
40	10
41	11
42	12
43	1
44	3
45	2
46	5
47	3
48	2
49	6
50	3
51	3
52	3
53	5
54	1
55	5
56	3
57	1
58	5
59	6
60	7
61	8
62	3
63	14
64	7
65	8
66	10
67	9
68	6
69	8
70	7
71	5
72	11
73	5
74	6
75	5
76	7
77	12
78	7
79	5
80	5
81	3
82	6
83	2
84	5
87	1
88	1
89	1
